iter	MultiClass
0	2.059218842
1	1.757401374
2	1.537380563
3	1.363994528
4	1.217884863
5	1.100702731
6	1.014042987
7	0.9399976492
8	0.8645640015
9	0.8031191478
10	0.7534519452
11	0.7049262473
12	0.6696077586
13	0.6298622668
14	0.5900993757
15	0.5609286535
16	0.5347824053
17	0.5081420564
18	0.4819084065
19	0.4549278312
20	0.436771705
21	0.4153753606
22	0.3990369382
23	0.3812363128
24	0.3703591972
25	0.3546174136
26	0.3436951388
27	0.3297879319
28	0.3180579495
29	0.3074976085
30	0.2979689954
31	0.2873107429
32	0.277807359
33	0.2692476869
34	0.2625449011
35	0.2565706521
36	0.2487915636
37	0.2428705113
38	0.237623072
39	0.232670162
40	0.2266697752
41	0.2215177658
42	0.2174397488
43	0.2128049154
44	0.208211986
45	0.203894709
46	0.2009172088
47	0.1974870926
48	0.1940428501
49	0.1905640439
50	0.1873778695
51	0.1853908354
52	0.1826101437
53	0.1796839539
54	0.1771567056
55	0.1752887125
56	0.1732917951
57	0.1717837178
58	0.1692129662
59	0.167511983
60	0.1654724092
61	0.164178807
62	0.161288542
63	0.1585362248
64	0.1555335505
65	0.1539682823
66	0.1522571804
67	0.1498008483
68	0.1470352104
69	0.1453609917
70	0.1432715009
71	0.1419350498
72	0.1406262932
73	0.1393572593
74	0.1374394647
75	0.1359117849
76	0.1339988757
77	0.1328350447
78	0.1317606118
79	0.1307522829
80	0.130022532
81	0.1290017119
82	0.127452452
83	0.1258456895
84	0.124675582
85	0.1229269725
86	0.1216956623
87	0.1206980301
88	0.1195254722
89	0.1188935523
90	0.1177800447
91	0.1171815809
92	0.1155483337
93	0.1149502499
94	0.1141063625
95	0.1128701273
96	0.1119482614
97	0.1107174377
98	0.1097531993
99	0.108655852
100	0.1075038779
101	0.1063362664
102	0.1051788277
103	0.1046294062
104	0.1036570693
105	0.1026580289
106	0.1020001305
107	0.1015955
108	0.1006476238
109	0.09979430427
110	0.09921305723
111	0.09812338743
112	0.09725495057
113	0.09652130278
114	0.09572316763
115	0.09522541048
116	0.09454937257
117	0.09360585173
118	0.09269184788
119	0.0916077005
120	0.09064961315
121	0.08978925469
122	0.08884941689
123	0.08821440959
124	0.08777720148
125	0.08711886311
126	0.08615495204
127	0.08544084405
128	0.08500492171
129	0.08434939785
130	0.08388070393
131	0.08299749816
132	0.08215313183
133	0.08180885234
134	0.08102425541
135	0.08044554694
136	0.07991616926
137	0.07929694109
138	0.07886526157
139	0.07818575005
140	0.07737533305
141	0.07704748336
142	0.07617629162
143	0.07559233039
144	0.07503955943
145	0.07440321892
146	0.07384535755
147	0.07336781751
148	0.07264368193
149	0.07216342459
150	0.07145098346
151	0.07056578865
152	0.07022556471
153	0.06982431994
154	0.06939571537
155	0.06908376073
156	0.06856237815
157	0.06827943584
158	0.06745574294
159	0.06718484057
160	0.0667844985
161	0.06632211516
162	0.06586951159
163	0.06531938505
164	0.06510581553
165	0.06485238836
166	0.06448043334
167	0.06412664916
168	0.06366057357
169	0.06304491533
170	0.06253490768
171	0.06232937969
172	0.0617793809
173	0.06118005938
174	0.06071227019
175	0.06035350917
176	0.06029369404
177	0.05976370331
178	0.05939263031
179	0.05894879702
180	0.05836843221
181	0.05802788341
182	0.05768415183
183	0.05752716813
184	0.05697813417
185	0.056607089
186	0.05640710796
187	0.05600107698
188	0.05556326281
189	0.05528123739
190	0.05498078037
191	0.05452296381
192	0.05431533986
193	0.05396818195
194	0.05369427653
195	0.05318756634
196	0.05300975514
197	0.05283384302
198	0.05262352925
199	0.05252678028
200	0.05206387526
201	0.05177155705
202	0.05149664816
203	0.0511264744
204	0.05073385353
205	0.05039731156
206	0.05000472626
207	0.04993326343
208	0.04984009912
209	0.04971047083
210	0.0493552882
211	0.04921606983
212	0.04887764614
213	0.04874415622
214	0.04863772796
215	0.04847010543
216	0.04812539974
217	0.04799273976
218	0.04791731902
219	0.04774667401
220	0.04748638057
221	0.04724039575
222	0.04697984058
223	0.04680085656
224	0.04666324981
225	0.04654078155
226	0.04621460155
227	0.04591586241
228	0.0458283238
229	0.04549916892
230	0.04528590509
231	0.04500301195
232	0.04467246757
233	0.04434102891
234	0.04424034706
235	0.0440112924
236	0.04386031855
237	0.04376611387
238	0.04350510522
239	0.04336137128
240	0.04302439034
241	0.04279886759
242	0.04271046564
243	0.04260145392
244	0.04240322284
245	0.04225692104
246	0.04193207008
247	0.04173816632
248	0.04143516383
249	0.04119914465
250	0.04111599006
251	0.04099240481
252	0.04078466414
253	0.04055614482
254	0.04018786756
255	0.04009670098
256	0.03981732374
257	0.03977191418
258	0.03954308664
259	0.03946866096
260	0.03934217061
261	0.03920329425
262	0.03911349713
263	0.03891331647
264	0.03863647016
265	0.0385494212
266	0.03838767497
267	0.03830477641
268	0.03814002741
269	0.03800871022
270	0.03771320982
271	0.03757268911
272	0.03729297001
273	0.03717761523
274	0.0370053406
275	0.03683609316
276	0.03654883484
277	0.03638507559
278	0.03626796579
279	0.03605883688
280	0.03587085185
281	0.03579296521
282	0.03563233472
283	0.03545065913
284	0.03529949388
285	0.03515083389
286	0.0349634489
287	0.03483570269
288	0.034564324
289	0.03440613459
290	0.03422492445
291	0.03419866285
292	0.03399793972
293	0.03392983455
294	0.03379979763
295	0.03375216381
296	0.03360277667
297	0.03351443465
298	0.03344313261
299	0.03335387049
